age,prob,inf,sup
1,0.8551,0.8225399999999999,0.8718
2,0.7362,0.69712,0.7646
3,0.6533,0.6149,0.68456
4,0.45670000000000005,0.41974,0.49534
5,0.30760000000000004,0.27684000000000003,0.34674
6,0.1837,0.16484000000000001,0.21661999999999995
7,0.10069999999999998,0.08910000000000001,0.13022
8,0.05309999999999999,0.046439999999999974,0.07996000000000002
9,0.04229999999999999,0.03819999999999999,0.06730000000000001
10,0.026400000000000007,0.0235,0.050879999999999995
11,0.02370000000000002,0.021380000000000017,0.04772000000000001
12,0.020899999999999988,0.019740000000000014,0.04400000000000001
13,0.02199999999999999,0.020380000000000016,0.045480000000000013
14,0.020600000000000018,0.01965999999999999,0.04351999999999999
15,0.020300000000000012,0.019579999999999986,0.043039999999999995
16,0.021400000000000016,0.019960000000000012,0.04472
17,0.02060000000000002,0.01962000000000002,0.043539999999999975
